product_id,product_category,product_name,unit_cost,list_price,weight_g
1,housewares,Housewares Item 1,242.65,321.36,8120
2,home_furniture,Home Furniture Item 2,1252.46,1601.19,496
3,beauty_health,Beauty Health Item 3,165.67,234.74,11669
4,electronics,Electronics Item 4,1413.93,1677.69,14843
5,fashion_accessories,Fashion Accessories Item 5,132.28,199.1,6050
6,beauty_health,Beauty Health Item 6,68.13,94.38,2635
7,housewares,Housewares Item 7,430.76,566.44,10235
8,electronics,Electronics Item 8,2420.37,2885.84,12255
9,beauty_health,Beauty Health Item 9,189.45,271.9,12053
10,electronics,Electronics Item 10,274.71,327.87,11868
11,fashion_accessories,Fashion Accessories Item 11,45.86,70.35,1137
12,beauty_health,Beauty Health Item 12,56.43,80.22,11850
13,toys_baby,Toys Baby Item 13,376.76,464.75,3149
14,auto_parts,Auto Parts Item 14,1127.62,1391.35,2926
15,home_furniture,Home Furniture Item 15,1590.17,2105.01,3607
16,toys_baby,Toys Baby Item 16,351.74,443.74,12106
17,fashion_accessories,Fashion Accessories Item 17,92.81,147.61,1334
18,sports_leisure,Sports Leisure Item 18,193.81,243.19,3974
19,computers_tablets,Computers Tablets Item 19,1955.38,2153.08,4106
20,books_stationery,Books Stationery Item 20,146.89,173.3,5346
21,beauty_health,Beauty Health Item 21,74.91,106.26,8113
22,toys_baby,Toys Baby Item 22,197.27,244.94,8178
23,home_furniture,Home Furniture Item 23,1421.52,1793.47,420
24,beauty_health,Beauty Health Item 24,66.54,93.09,13383
25,auto_parts,Auto Parts Item 25,599.93,762.23,2008
26,home_furniture,Home Furniture Item 26,781.25,1027.27,14200
27,beauty_health,Beauty Health Item 27,14.44,20.75,7311
28,electronics,Electronics Item 28,293.83,335.72,14863
29,sports_leisure,Sports Leisure Item 29,537.62,693.38,11876
30,electronics,Electronics Item 30,1499.11,1792.6,5455
31,electronics,Electronics Item 31,2780.26,3336.64,8602
32,home_furniture,Home Furniture Item 32,301.76,396.39,12433
33,auto_parts,Auto Parts Item 33,184.28,228.03,12047
34,books_stationery,Books Stationery Item 34,147.95,174.65,2938
35,electronics,Electronics Item 35,252.42,298.96,8110
36,sports_leisure,Sports Leisure Item 36,658.95,848.17,8597
37,beauty_health,Beauty Health Item 37,184.24,261.81,11300
38,home_furniture,Home Furniture Item 38,1265.76,1648.76,6198
39,sports_leisure,Sports Leisure Item 39,283.35,347.33,8865
40,fashion_accessories,Fashion Accessories Item 40,30.12,47.83,12397
41,books_stationery,Books Stationery Item 41,145.26,165.52,384
42,fashion_accessories,Fashion Accessories Item 42,86.38,138.29,10674
43,electronics,Electronics Item 43,1742.33,2068.43,5354
44,electronics,Electronics Item 44,312.83,372.47,2770
45,auto_parts,Auto Parts Item 45,1043.93,1311.85,14314
46,electronics,Electronics Item 46,2349.48,2759.47,2843
47,books_stationery,Books Stationery Item 47,126.73,150.01,5805
